,Choice_1,Choice_2,Choice_3,Choice_4,X_1_1,X_2_1,X_3_1,X_1_2,X_2_2,X_3_2,X_1_3,X_2_3,X_3_3,X_1_4,X_2_4,X_3_4,Z_1,Z_2,Z_3
0,0.0,0.0,0.0,1.0,0.7004371218578347,0.8441866428504345,0.6765143359376254,0.7278580572480748,0.9514579574463393,0.012703197034767633,0.41358769878652346,0.04881279380000003,0.09992856132121142,0.5080663057670065,0.20024753933447748,0.744154168814097,-1.736054565139042,-1.3502734453770313,-0.6186426333256851
1,1.0,0.0,1.0,0.0,0.19289200304058374,0.7008447521659813,0.293228105869234,0.7744794542685887,0.005108838763799861,0.11285765363170797,0.11095367198744666,0.24766822869503025,0.023236299238903912,0.7273211542351691,0.3400349419546269,0.1975031563929983,0.9645063914226706,-0.43036321320764265,-0.5088904296695453
2,0.0,1.0,0.0,1.0,0.9091795928395876,0.9783469850151286,0.5328025441060883,0.25913184936895584,0.5838126188253052,0.32569065293360866,0.8888993137763092,0.626404526756425,0.8188736905778184,0.5473454203729617,0.4167120059336532,0.7430471917456354,-0.5198251652310917,0.14324465449463675,0.7837511104174876
3,1.0,1.0,1.0,1.0,0.3695963808975904,0.0751665439471918,0.7751929784521634,0.2194092444427458,0.07934212685403363,0.48678052154317275,0.15367390200000686,0.8284651332524626,0.19136856793799728,0.2704089537503508,0.5610344211351077,0.9023803898920602,0.5484175873142361,-0.7845441380134124,0.025188136436592668
4,1.0,0.0,1.0,0.0,0.8517883417630912,0.4180819605861964,0.3934762685837987,0.016220513317442786,0.29921337184452645,0.3537782187278089,0.8935026654012684,0.7861365694009855,0.771386925655877,0.4200548572669478,0.7760251379962897,0.46430814356644035,0.9367235480022246,0.47161413258545126,-1.5628995829072312
5,1.0,1.0,1.0,1.0,0.1817701657178903,0.8840256047591023,0.718792267846751,0.6718813001186729,0.2565636326383386,0.4308018224639436,0.01645357646732082,0.23499382673447788,0.5111713111665136,0.29200924041190557,0.5018935081312759,0.4982731299113142,2.249574629752445,-0.9414014660824278,-0.15269901855185525
6,1.0,1.0,1.0,0.0,0.10377152415099433,0.4464431154191334,0.9691891684335366,0.7384711215708382,0.7195506077830377,0.8930433865009372,0.9626746812565987,0.19705022784339832,0.7145899642194968,0.16192393928037796,0.8662547717253928,0.6238202472516102,0.8744026348795958,-0.34503155699711113,-1.0594907453543494
7,0.0,0.0,1.0,0.0,0.9594551235264691,0.5241420422160411,0.03643287815010143,0.7268715785639464,0.003909843867777485,0.05029400117472704,0.9919923158752376,0.21225750034806135,0.9473706648743383,0.45154054881002337,0.9987946727616922,0.6475014891424812,0.5727519405495236,-1.0256327478279037,-1.8747008997290715
8,0.0,1.0,1.0,1.0,0.702240709857999,0.4295817654400982,0.16777475984225565,0.11813309348023981,0.9378826218251255,0.910997443807787,0.39799353685087546,0.9253032660313326,0.7454992171918295,0.7898263644410702,0.6377085177999262,0.9927413665459659,-0.9660839761204507,-0.26493723340327807,-1.7312167064595803
9,1.0,0.0,1.0,1.0,0.4761055368571553,0.10211418580894926,0.8725633248307839,0.7561270438606041,0.29919883647557877,0.18625651941455124,0.49435351425592966,0.04089549937214554,0.4783522821449183,0.30899019949900763,0.920580262486672,0.9179456847246259,0.8766767255884478,-0.4973694589173574,0.6623597018505043
10,0.0,0.0,1.0,1.0,0.46848893134728853,0.2343130831852429,0.08982494354366533,0.679403574369191,0.6559283222551944,0.003944399270647492,0.06654133923473937,0.0011210912356498515,0.6660838169038314,0.3856511597640656,0.09405827373763798,0.4585675730359198,-1.1535000533230386,-1.9231766264366381,-1.4719700260086395
11,1.0,0.0,1.0,0.0,0.6443417284133335,0.5949977389592146,0.7906030738245564,0.7999690691973351,0.6796979189449142,0.43875185216489787,0.2623588927575021,0.2365218834894247,0.8390020764323446,0.36874333902243106,0.6191883816810096,0.4665643285158281,0.1004467253961572,-0.2644957706138642,-1.7588933238531366
12,1.0,1.0,1.0,1.0,0.49250063086657647,0.7186221136376938,0.6541588135369757,0.9665016966214223,0.38957233415205605,0.9701721920589899,0.3605796053743392,0.5618423383712171,0.0313355780270147,0.30480027794853326,0.07269465079605752,0.46721992557155956,0.3920466992444339,-0.8523904984553,-0.8012370546447254
13,1.0,1.0,0.0,1.0,0.41345069380478017,0.42228271227982705,0.7949103087419049,0.056518548554810644,0.8971820112883815,0.3186963754154789,0.36398678374124227,0.7054880425651839,0.23103496982204008,0.5482704313353302,0.31956019957801485,0.7302113008278549,0.10485235756486912,-0.5891347594928393,0.5523472045226505
14,0.0,1.0,0.0,1.0,0.9425723255994333,0.7744225227494643,0.8637907659538764,0.8290361518799408,0.8137964667065034,0.6316623383334327,0.6881042561118126,0.09505541728084255,0.8763727104084346,0.8328050829875995,0.4206734869438645,0.775825580553317,0.7834216180566093,-0.9336542924524417,0.6501465345546832
15,1.0,0.0,1.0,1.0,0.4909779227807123,0.5260344372630833,0.7138173361963251,0.12317236965978684,0.45279854641186057,0.14136043213856375,0.3400760216018368,0.23354548188578772,0.5074442748557263,0.42741471278898957,0.53647236375119,0.8690841989698258,-1.5807040410195559,0.4829644624511212,-1.2703756217777125
16,0.0,1.0,1.0,1.0,0.8433488494788387,0.04136066762131607,0.07753699483173193,0.3680050792084093,0.7443133193330708,0.3884428735526603,0.14635091672290812,0.3773290886129015,0.37146278035525127,0.9326339783127583,0.8787093358615821,0.6354028906563364,1.0112235091044535,-1.0106211868092514,0.3217745120314855
17,1.0,1.0,0.0,1.0,0.07311182197875143,0.8473103626003157,0.8506322881344338,0.33730247993827767,0.6444964306975002,0.833026097414485,0.5344452204076814,0.6610823129304484,0.5907996202506948,0.4080680028821334,0.22967833756724032,0.6891540550475875,0.43402663407355885,-0.0012612013650182207,0.17448847535001463
18,0.0,1.0,0.0,1.0,0.9792966497844691,0.8612482498657266,0.8547068703483187,0.5520280946035544,0.4236492467731422,0.18325787628173884,0.4201860565669552,0.6791056304555848,0.32292753618511316,0.8741007203200089,0.8318801729054845,0.08145924366807022,0.9176835132485716,-1.2619639893754895,1.6147200228084202
19,1.0,0.0,1.0,0.0,0.6018495208010357,0.8656263701636755,0.7151208554122931,0.08951757767417778,0.9565405373741248,0.009705286594094309,0.8232837073680719,0.5194836902750831,0.11782167794091092,0.5286380883589897,0.6703610564468512,0.23355255586983226,0.4235238827439123,0.31128617192729613,-0.014501817663710084
20,1.0,0.0,1.0,1.0,0.660006132875956,0.11651345077462649,0.38301959624552806,0.6243141481688452,0.2945068443158435,0.14830011008915522,0.2356350677319089,0.5641020327529898,0.9209693814442615,0.7231777801547313,0.9535771385430054,0.25599860138055064,0.7164448416878874,-1.7078608487363067,-0.20723288868213588
21,1.0,1.0,1.0,0.0,0.6437226463937643,0.36052869693103684,0.4209805562970279,0.41913790908019244,0.3238790530887671,0.8200770285421939,0.49586035923280014,0.9384059406715014,0.26103985926255735,0.46491360194879794,0.9137581737244195,0.099125576848901,-1.4998103185945266,-0.6980908950793145,-1.5570450756711682
