,Choice_1,Choice_2,Choice_3,Choice_4,X_1_1,X_2_1,X_3_1,X_1_2,X_2_2,X_3_2,X_1_3,X_2_3,X_3_3,X_1_4,X_2_4,X_3_4,Cost_1,Cost_2,Cost_3,Cost_4
0,1.0,0.0,1.0,1.0,0.7004371218578347,0.8441866428504345,0.6765143359376254,0.7278580572480748,0.9514579574463393,0.012703197034767633,0.41358769878652346,0.04881279380000003,0.09992856132121142,0.5080663057670065,0.20024753933447748,0.744154168814097,0.40839607521182786,0.3822242914147256,0.8031014224609018,0.3055881600956638
1,1.0,0.0,1.0,1.0,0.19289200304058374,0.7008447521659813,0.293228105869234,0.7744794542685887,0.005108838763799861,0.11285765363170797,0.11095367198744666,0.24766822869503025,0.023236299238903912,0.7273211542351691,0.3400349419546269,0.1975031563929983,0.13154599886842444,0.12755953539453835,0.15834531266544494,0.21106627188050853
2,0.0,1.0,1.0,1.0,0.9091795928395876,0.9783469850151286,0.5328025441060883,0.25913184936895584,0.5838126188253052,0.32569065293360866,0.8888993137763092,0.626404526756425,0.8188736905778184,0.5473454203729617,0.4167120059336532,0.7430471917456354,0.6235184143309632,0.05176002647219602,0.7280428202928023,0.8258991282582813
3,1.0,1.0,1.0,1.0,0.3695963808975904,0.0751665439471918,0.7751929784521634,0.2194092444427458,0.07934212685403363,0.48678052154317275,0.15367390200000686,0.8284651332524626,0.19136856793799728,0.2704089537503508,0.5610344211351077,0.9023803898920602,0.5137539667252645,0.0716001461282576,0.6707925784212356,0.839229507720913
4,0.0,1.0,1.0,1.0,0.8517883417630912,0.4180819605861964,0.3934762685837987,0.016220513317442786,0.29921337184452645,0.3537782187278089,0.8935026654012684,0.7861365694009855,0.771386925655877,0.4200548572669478,0.7760251379962897,0.46430814356644035,0.5629204622452452,0.4562857960350284,0.436226752098142,0.10683290802383605
5,1.0,1.0,1.0,1.0,0.1817701657178903,0.8840256047591023,0.718792267846751,0.6718813001186729,0.2565636326383386,0.4308018224639436,0.01645357646732082,0.23499382673447788,0.5111713111665136,0.29200924041190557,0.5018935081312759,0.4982731299113142,0.352851499125048,0.8729138227339531,0.6654530482772874,0.19394084763420338
6,1.0,1.0,1.0,1.0,0.10377152415099433,0.4464431154191334,0.9691891684335366,0.7384711215708382,0.7195506077830377,0.8930433865009372,0.9626746812565987,0.19705022784339832,0.7145899642194968,0.16192393928037796,0.8662547717253928,0.6238202472516102,0.3599379827219593,0.42337327428180327,0.39710424944117895,0.12479439167973894
7,0.0,0.0,1.0,1.0,0.9594551235264691,0.5241420422160411,0.03643287815010143,0.7268715785639464,0.003909843867777485,0.05029400117472704,0.9919923158752376,0.21225750034806135,0.9473706648743383,0.45154054881002337,0.9987946727616922,0.6475014891424812,0.5881120624609038,0.326000770728187,0.8368055316797713,0.24709091663648708
8,0.0,1.0,1.0,1.0,0.702240709857999,0.4295817654400982,0.16777475984225565,0.11813309348023981,0.9378826218251255,0.910997443807787,0.39799353685087546,0.9253032660313326,0.7454992171918295,0.7898263644410702,0.6377085177999262,0.9927413665459659,0.3780432855673338,0.4268517125949909,0.5197540672548545,0.21051923518437543
9,1.0,0.0,1.0,1.0,0.4761055368571553,0.10211418580894926,0.8725633248307839,0.7561270438606041,0.29919883647557877,0.18625651941455124,0.49435351425592966,0.04089549937214554,0.4783522821449183,0.30899019949900763,0.920580262486672,0.9179456847246259,0.27580603355039024,0.46628655352834825,0.1354756952910091,0.6676585446629383
